,YR,MON,SEAS,TOTAL,ANOM,STATE
0,1950,1,DJF,24.72,-1.53,cold
1,1950,2,JFM,25.17,-1.34,cold
2,1950,3,FMA,25.75,-1.16,cold
3,1950,4,MAM,26.12,-1.18,cold
4,1950,5,AMJ,26.32,-1.07,cold
5,1950,6,MJJ,26.31,-0.85,cold
6,1950,7,JJA,26.21,-0.54,cold
7,1950,8,JAS,25.96,-0.42,neutral
8,1950,9,ASO,25.76,-0.39,neutral
9,1950,10,SON,25.63,-0.44,neutral
10,1950,11,OND,25.48,-0.6,neutral
11,1950,12,NDJ,25.34,-0.8,neutral
12,1951,1,DJF,25.42,-0.82,neutral
13,1951,2,JFM,25.96,-0.54,neutral
14,1951,3,FMA,26.74,-0.17,neutral
15,1951,4,MAM,27.48,0.18,neutral
16,1951,5,AMJ,27.75,0.36,neutral
17,1951,6,MJJ,27.75,0.58,warm
18,1951,7,JJA,27.44,0.7,warm
19,1951,8,JAS,27.28,0.89,warm
20,1951,9,ASO,27.14,0.99,warm
21,1951,10,SON,27.22,1.15,warm
22,1951,11,OND,27.12,1.04,warm
23,1951,12,NDJ,26.95,0.81,warm
24,1952,1,DJF,26.78,0.53,warm
25,1952,2,JFM,26.87,0.37,neutral
26,1952,3,FMA,27.25,0.34,neutral
27,1952,4,MAM,27.6,0.29,neutral
28,1952,5,AMJ,27.59,0.2,neutral
29,1952,6,MJJ,27.17,0.0,neutral
30,1952,7,JJA,26.67,-0.08,neutral
31,1952,8,JAS,26.39,0.0,neutral
32,1952,9,ASO,26.3,0.15,neutral
33,1952,10,SON,26.17,0.1,neutral
34,1952,11,OND,26.13,0.04,neutral
35,1952,12,NDJ,26.29,0.15,neutral
36,1953,1,DJF,26.65,0.4,neutral
37,1953,2,JFM,27.1,0.6,warm
38,1953,3,FMA,27.53,0.63,warm
39,1953,4,MAM,27.96,0.66,warm
40,1953,5,AMJ,28.14,0.75,warm
41,1953,6,MJJ,27.94,0.77,warm
42,1953,7,JJA,27.49,0.75,warm
43,1953,8,JAS,27.12,0.73,warm
44,1953,9,ASO,26.93,0.78,warm
45,1953,10,SON,26.91,0.84,warm
46,1953,11,OND,26.92,0.84,warm
47,1953,12,NDJ,26.95,0.81,warm
48,1954,1,DJF,27.0,0.76,warm
49,1954,2,JFM,26.97,0.47,neutral
50,1954,3,FMA,26.86,-0.05,neutral
51,1954,4,MAM,26.89,-0.41,neutral
52,1954,5,AMJ,26.85,-0.54,cold
53,1954,6,MJJ,26.67,-0.5,cold
54,1954,7,JJA,26.1,-0.64,cold
55,1954,8,JAS,25.54,-0.84,cold
56,1954,9,ASO,25.25,-0.9,cold
57,1954,10,SON,25.3,-0.77,cold
58,1954,11,OND,25.35,-0.73,cold
59,1954,12,NDJ,25.48,-0.66,cold
60,1955,1,DJF,25.57,-0.68,cold
61,1955,2,JFM,25.89,-0.62,cold
62,1955,3,FMA,26.22,-0.69,cold
63,1955,4,MAM,26.5,-0.8,cold
64,1955,5,AMJ,26.6,-0.79,cold
65,1955,6,MJJ,26.45,-0.72,cold
66,1955,7,JJA,26.06,-0.68,cold
67,1955,8,JAS,25.64,-0.75,cold
68,1955,9,ASO,25.06,-1.09,cold
69,1955,10,SON,24.65,-1.42,cold
70,1955,11,OND,24.41,-1.67,cold
71,1955,12,NDJ,24.72,-1.47,cold
72,1956,1,DJF,25.23,-1.11,cold
73,1956,2,JFM,25.86,-0.76,cold
74,1956,3,FMA,26.37,-0.63,cold
75,1956,4,MAM,26.82,-0.54,cold
76,1956,5,AMJ,26.93,-0.52,cold
77,1956,6,MJJ,26.72,-0.51,cold
78,1956,7,JJA,26.23,-0.57,cold
79,1956,8,JAS,25.87,-0.55,cold
80,1956,9,ASO,25.71,-0.46,neutral
81,1956,10,SON,25.67,-0.42,neutral
82,1956,11,OND,25.67,-0.43,neutral
83,1956,12,NDJ,25.77,-0.43,neutral
84,1957,1,DJF,26.09,-0.25,neutral
85,1957,2,JFM,26.68,0.06,neutral
86,1957,3,FMA,27.41,0.41,neutral
87,1957,4,MAM,28.08,0.72,warm
88,1957,5,AMJ,28.37,0.92,warm
89,1957,6,MJJ,28.34,1.11,warm
90,1957,7,JJA,28.06,1.25,warm
91,1957,8,JAS,27.75,1.32,warm
92,1957,9,ASO,27.5,1.33,warm
93,1957,10,SON,27.48,1.39,warm
94,1957,11,OND,27.64,1.53,warm
95,1957,12,NDJ,27.94,1.74,warm
96,1958,1,DJF,28.15,1.81,warm
97,1958,2,JFM,28.27,1.66,warm
98,1958,3,FMA,28.26,1.27,warm
99,1958,4,MAM,28.28,0.93,warm
100,1958,5,AMJ,28.19,0.74,warm
101,1958,6,MJJ,27.87,0.64,warm
102,1958,7,JJA,27.38,0.57,warm
103,1958,8,JAS,26.85,0.43,neutral
104,1958,9,ASO,26.56,0.39,neutral
105,1958,10,SON,26.53,0.44,neutral
106,1958,11,OND,26.6,0.5,warm
107,1958,12,NDJ,26.81,0.61,warm
108,1959,1,DJF,26.95,0.61,warm
109,1959,2,JFM,27.24,0.62,warm
110,1959,3,FMA,27.51,0.52,warm
111,1959,4,MAM,27.68,0.33,neutral
112,1959,5,AMJ,27.65,0.2,neutral
113,1959,6,MJJ,27.16,-0.07,neutral
114,1959,7,JJA,26.63,-0.18,neutral
115,1959,8,JAS,26.15,-0.28,neutral
116,1959,9,ASO,26.08,-0.09,neutral
117,1959,10,SON,26.07,-0.03,neutral
118,1959,11,OND,26.15,0.05,neutral
119,1959,12,NDJ,26.16,-0.04,neutral
120,1960,1,DJF,26.24,-0.1,neutral
121,1960,2,JFM,26.51,-0.1,neutral
122,1960,3,FMA,26.92,-0.07,neutral
123,1960,4,MAM,27.39,0.03,neutral
124,1960,5,AMJ,27.47,0.02,neutral
125,1960,6,MJJ,27.26,0.03,neutral
126,1960,7,JJA,26.93,0.13,neutral
127,1960,8,JAS,26.66,0.24,neutral
128,1960,9,ASO,26.44,0.27,neutral
129,1960,10,SON,26.3,0.2,neutral
130,1960,11,OND,26.23,0.12,neutral
131,1960,12,NDJ,26.23,0.05,neutral
132,1961,1,DJF,26.34,0.04,neutral
133,1961,2,JFM,26.58,0.03,neutral
134,1961,3,FMA,26.96,0.04,neutral
135,1961,4,MAM,27.35,0.09,neutral
136,1961,5,AMJ,27.59,0.23,neutral
137,1961,6,MJJ,27.42,0.27,neutral
138,1961,7,JJA,26.9,0.14,neutral
139,1961,8,JAS,26.27,-0.13,neutral
140,1961,9,ASO,25.89,-0.3,neutral
141,1961,10,SON,25.85,-0.26,neutral
142,1961,11,OND,25.91,-0.19,neutral
143,1961,12,NDJ,26.0,-0.16,neutral
144,1962,1,DJF,26.05,-0.24,neutral
145,1962,2,JFM,26.32,-0.22,neutral
146,1962,3,FMA,26.71,-0.2,neutral
147,1962,4,MAM,27.0,-0.26,neutral
148,1962,5,AMJ,27.09,-0.28,neutral
149,1962,6,MJJ,26.96,-0.2,neutral
150,1962,7,JJA,26.72,-0.04,neutral
151,1962,8,JAS,26.34,-0.07,neutral
152,1962,9,ASO,26.07,-0.11,neutral
153,1962,10,SON,25.88,-0.22,neutral
154,1962,11,OND,25.79,-0.31,neutral
155,1962,12,NDJ,25.73,-0.43,neutral
156,1963,1,DJF,25.89,-0.4,neutral
157,1963,2,JFM,26.39,-0.15,neutral
158,1963,3,FMA,27.07,0.15,neutral
159,1963,4,MAM,27.53,0.27,neutral
160,1963,5,AMJ,27.68,0.31,neutral
161,1963,6,MJJ,27.67,0.52,warm
162,1963,7,JJA,27.62,0.86,warm
163,1963,8,JAS,27.54,1.14,warm
164,1963,9,ASO,27.4,1.22,warm
165,1963,10,SON,27.4,1.29,warm
166,1963,11,OND,27.47,1.37,warm
167,1963,12,NDJ,27.47,1.31,warm
168,1964,1,DJF,27.36,1.07,warm
169,1964,2,JFM,27.16,0.62,warm
170,1964,3,FMA,27.03,0.12,neutral
171,1964,4,MAM,26.93,-0.33,neutral
172,1964,5,AMJ,26.78,-0.58,cold
173,1964,6,MJJ,26.57,-0.58,cold
174,1964,7,JJA,26.16,-0.6,cold
175,1964,8,JAS,25.74,-0.66,cold
176,1964,9,ASO,25.42,-0.76,cold
177,1964,10,SON,25.31,-0.8,cold
178,1964,11,OND,25.28,-0.82,cold
179,1964,12,NDJ,25.38,-0.78,cold
180,1965,1,DJF,25.69,-0.59,cold
181,1965,2,JFM,26.27,-0.28,neutral
182,1965,3,FMA,26.85,-0.07,neutral
183,1965,4,MAM,27.44,0.18,neutral
184,1965,5,AMJ,27.82,0.46,neutral
185,1965,6,MJJ,27.99,0.83,warm
