,YR,MON,AMM
0,1950,1,0.53
1,1950,2,-1.07
2,1950,3,-1.26
3,1950,4,0.72
4,1950,5,1.05
5,1950,6,0.28
6,1950,7,0.21
7,1950,8,1.21
8,1950,9,1.26
9,1950,10,1.27
10,1950,11,1.87
11,1950,12,3.03
12,1951,1,2.14
13,1951,2,0.94
14,1951,3,2.29
15,1951,4,3.63
16,1951,5,3.7
17,1951,6,3.85
18,1951,7,2.87
19,1951,8,0.98
20,1951,9,-0.04
21,1951,10,-0.97
22,1951,11,-1.19
23,1951,12,-2.02
24,1952,1,-2.89
25,1952,2,-1.44
26,1952,3,0.92
27,1952,4,1.13
28,1952,5,2.09
29,1952,6,3.27
30,1952,7,2.36
31,1952,8,2.04
32,1952,9,2.24
33,1952,10,2.08
34,1952,11,2.25
35,1952,12,3.63
36,1953,1,3.16
37,1953,2,2.8
38,1953,3,1.32
39,1953,4,2.12
40,1953,5,2.34
41,1953,6,1.45
42,1953,7,1.45
43,1953,8,1.52
44,1953,9,1.52
45,1953,10,0.35
46,1953,11,0.69
47,1953,12,0.82
48,1954,1,0.97
49,1954,2,0.82
50,1954,3,-0.17
51,1954,4,-0.44
52,1954,5,1.68
53,1954,6,1.2
54,1954,7,0.39
55,1954,8,-0.86
56,1954,9,-1.25
57,1954,10,-1.69
58,1954,11,-1.6
59,1954,12,-1.07
60,1955,1,0.63
61,1955,2,1.62
62,1955,3,1.03
63,1955,4,1.95
64,1955,5,1.61
65,1955,6,2.14
66,1955,7,2.7
67,1955,8,3.05
68,1955,9,2.93
69,1955,10,3.55
70,1955,11,4.25
71,1955,12,4.57
72,1956,1,4.38
73,1956,2,3.56
74,1956,3,2.5
75,1956,4,2.02
76,1956,5,0.16
77,1956,6,-1.4
78,1956,7,-0.47
79,1956,8,-0.25
80,1956,9,-0.67
81,1956,10,0.05
82,1956,11,0.39
83,1956,12,0.74
84,1957,1,-1.03
85,1957,2,-2.24
86,1957,3,-1.54
87,1957,4,-2.32
88,1957,5,-1.4
89,1957,6,-0.44
90,1957,7,0.05
91,1957,8,1.0
92,1957,9,1.34
93,1957,10,1.62
94,1957,11,0.56
95,1957,12,0.1
96,1958,1,1.41
97,1958,2,4.02
98,1958,3,7.13
99,1958,4,8.23
100,1958,5,7.87
101,1958,6,7.32
102,1958,7,5.03
103,1958,8,3.87
104,1958,9,3.66
105,1958,10,1.95
106,1958,11,1.51
107,1958,12,1.03
108,1959,1,1.87
109,1959,2,1.81
110,1959,3,-0.37
111,1959,4,-1.04
112,1959,5,-0.81
113,1959,6,-0.87
114,1959,7,-0.34
115,1959,8,-0.45
116,1959,9,-0.24
117,1959,10,-0.71
118,1959,11,-0.74
119,1959,12,-0.86
120,1960,1,0.26
121,1960,2,1.65
122,1960,3,1.44
123,1960,4,2.0
124,1960,5,2.44
125,1960,6,2.54
126,1960,7,1.65
127,1960,8,1.08
128,1960,9,0.52
129,1960,10,0.17
130,1960,11,0.25
131,1960,12,-0.29
132,1961,1,-0.16
133,1961,2,-0.33
134,1961,3,0.41
135,1961,4,1.79
136,1961,5,2.11
137,1961,6,0.74
138,1961,7,1.15
139,1961,8,1.27
140,1961,9,0.18
141,1961,10,-0.54
142,1961,11,-0.21
143,1961,12,1.51
144,1962,1,1.96
145,1962,2,1.96
146,1962,3,3.26
147,1962,4,3.15
148,1962,5,2.82
149,1962,6,1.3
150,1962,7,2.44
151,1962,8,1.56
152,1962,9,0.98
153,1962,10,0.41
154,1962,11,1.42
155,1962,12,2.91
156,1963,1,3.15
157,1963,2,3.07
158,1963,3,1.42
159,1963,4,1.76
