,Year,MON,NAO
0,1950,1,0.92
1,1950,2,0.4
2,1950,3,-0.36
3,1950,4,0.73
4,1950,5,-0.59
5,1950,6,-0.06
6,1950,7,-1.26
7,1950,8,-0.05
8,1950,9,0.25
9,1950,10,0.85
10,1950,11,-1.26
11,1950,12,-1.02
12,1951,1,0.08
13,1951,2,0.7
14,1951,3,-1.02
15,1951,4,-0.22
16,1951,5,-0.59
17,1951,6,-1.64
18,1951,7,1.37
19,1951,8,-0.22
20,1951,9,-1.36
21,1951,10,1.87
22,1951,11,-0.39
23,1951,12,1.32
24,1952,1,0.93
25,1952,2,-0.83
26,1952,3,-1.49
27,1952,4,1.01
28,1952,5,-1.12
29,1952,6,-0.4
30,1952,7,-0.09
31,1952,8,-0.28
32,1952,9,-0.54
33,1952,10,-0.73
34,1952,11,-1.13
35,1952,12,-0.43
36,1953,1,0.33
37,1953,2,-0.49
38,1953,3,-0.04
39,1953,4,-1.67
40,1953,5,-0.66
41,1953,6,1.09
42,1953,7,0.4
43,1953,8,-0.71
44,1953,9,-0.35
45,1953,10,1.32
46,1953,11,1.04
47,1953,12,-0.47
48,1954,1,0.37
49,1954,2,0.74
50,1954,3,-0.83
51,1954,4,1.34
52,1954,5,-0.09
53,1954,6,-0.25
54,1954,7,-0.6
55,1954,8,-1.9
56,1954,9,-0.44
57,1954,10,0.6
58,1954,11,0.4
59,1954,12,0.69
60,1955,1,-1.84
61,1955,2,-1.12
62,1955,3,-0.53
63,1955,4,-0.42
64,1955,5,-0.34
65,1955,6,-1.1
66,1955,7,1.76
67,1955,8,1.07
68,1955,9,0.32
69,1955,10,-1.47
70,1955,11,-1.29
71,1955,12,0.17
72,1956,1,-0.22
73,1956,2,-1.12
74,1956,3,-0.05
75,1956,4,-1.06
76,1956,5,2.21
77,1956,6,0.1
78,1956,7,-0.75
79,1956,8,-1.37
80,1956,9,0.24
81,1956,10,0.88
82,1956,11,0.51
83,1956,12,0.1
84,1957,1,1.05
85,1957,2,0.11
86,1957,3,-1.26
87,1957,4,0.49
88,1957,5,-0.79
89,1957,6,-0.72
90,1957,7,-1.19
91,1957,8,-0.55
92,1957,9,-1.66
93,1957,10,1.32
94,1957,11,0.73
95,1957,12,0.12
96,1958,1,-0.54
97,1958,2,-1.06
98,1958,3,-1.96
99,1958,4,0.37
100,1958,5,-0.24
101,1958,6,-1.38
102,1958,7,-1.73
103,1958,8,-1.56
104,1958,9,-0.07
105,1958,10,0.16
106,1958,11,1.64
107,1958,12,-0.7
108,1959,1,-0.87
109,1959,2,0.68
110,1959,3,-0.15
111,1959,4,0.36
112,1959,5,0.39
113,1959,6,0.4
114,1959,7,0.74
115,1959,8,0.06
116,1959,9,0.88
117,1959,10,0.89
118,1959,11,0.41
119,1959,12,0.44
120,1960,1,-1.29
121,1960,2,-1.89
122,1960,3,-0.5
123,1960,4,1.36
124,1960,5,0.45
125,1960,6,-0.21
126,1960,7,0.35
127,1960,8,-1.4
128,1960,9,0.39
129,1960,10,-1.73
130,1960,11,-0.51
131,1960,12,0.06
132,1961,1,0.41
133,1961,2,0.45
134,1961,3,0.55
135,1961,4,-1.55
136,1961,5,-0.36
137,1961,6,0.86
138,1961,7,-0.39
139,1961,8,0.9
140,1961,9,1.24
141,1961,10,0.51
142,1961,11,-0.62
143,1961,12,-1.48
144,1962,1,0.61
145,1962,2,0.55
146,1962,3,-2.47
147,1962,4,0.99
148,1962,5,-0.1
149,1962,6,0.16
150,1962,7,-2.47
151,1962,8,0.14
152,1962,9,-0.37
153,1962,10,0.41
154,1962,11,-0.23
155,1962,12,-1.32
156,1963,1,-2.12
157,1963,2,-0.96
158,1963,3,-0.43
159,1963,4,-1.35
160,1963,5,2.16
161,1963,6,-0.43
162,1963,7,-0.77
163,1963,8,-0.64
164,1963,9,1.79
165,1963,10,0.94
166,1963,11,-1.27
167,1963,12,-1.92
168,1964,1,-0.95
169,1964,2,-1.43
170,1964,3,-1.2
171,1964,4,0.36
172,1964,5,0.52
173,1964,6,1.29
174,1964,7,1.9
175,1964,8,-1.77
176,1964,9,0.2
177,1964,10,0.74
178,1964,11,-0.01
179,1964,12,-0.15
180,1965,1,-0.12
181,1965,2,-1.55
182,1965,3,-1.51
183,1965,4,0.72
184,1965,5,-0.62
185,1965,6,0.29
186,1965,7,0.32
187,1965,8,0.45
188,1965,9,0.37
189,1965,10,0.38
190,1965,11,-1.66
191,1965,12,1.37
192,1966,1,-1.74
193,1966,2,-1.39
194,1966,3,0.56
195,1966,4,-0.75
196,1966,5,0.22
197,1966,6,1.05
198,1966,7,0.32
199,1966,8,-1.76
200,1966,9,-0.45
201,1966,10,-0.68
202,1966,11,-0.04
203,1966,12,0.72
204,1967,1,-0.89
205,1967,2,0.19
206,1967,3,1.51
207,1967,4,0.18
208,1967,5,-0.99
209,1967,6,1.4
210,1967,7,0.41
211,1967,8,1.44
212,1967,9,0.93
213,1967,10,0.07
214,1967,11,0.6
215,1967,12,-0.45
216,1968,1,0.13
217,1968,2,-1.29
218,1968,3,0.4
219,1968,4,-1.08
220,1968,5,-1.76
221,1968,6,0.33
222,1968,7,-0.8
223,1968,8,-0.66
224,1968,9,-1.92
225,1968,10,-2.3
226,1968,11,-0.93
227,1968,12,-1.4
228,1969,1,-0.83
229,1969,2,-1.55
230,1969,3,-1.56
231,1969,4,1.53
232,1969,5,0.55
233,1969,6,0.55
234,1969,7,0.57
235,1969,8,-1.45
236,1969,9,2.07
237,1969,10,0.66
238,1969,11,-0.96
239,1969,12,-0.28
240,1970,1,-1.5
241,1970,2,0.64
242,1970,3,-0.96
243,1970,4,-1.3
244,1970,5,1.14
245,1970,6,1.55
246,1970,7,0.1
247,1970,8,0.1
248,1970,9,-0.09
249,1970,10,-0.92
250,1970,11,-0.6
251,1970,12,-1.2
252,1971,1,-1.13
253,1971,2,0.24
254,1971,3,-0.84
255,1971,4,-0.24
256,1971,5,0.5
257,1971,6,-1.57
258,1971,7,0.24
259,1971,8,1.55
260,1971,9,0.39
261,1971,10,0.58
262,1971,11,-0.2
263,1971,12,0.6
264,1972,1,0.27
265,1972,2,0.32
266,1972,3,0.72
267,1972,4,-0.22
268,1972,5,0.95
269,1972,6,0.88
270,1972,7,0.18
271,1972,8,1.32
272,1972,9,-0.12
273,1972,10,1.09
274,1972,11,0.54
275,1972,12,0.19
276,1973,1,0.04
277,1973,2,0.85
278,1973,3,0.3
279,1973,4,-0.54
280,1973,5,-0.44
281,1973,6,0.39
282,1973,7,0.57
283,1973,8,-0.06
284,1973,9,-0.3
285,1973,10,-1.24
286,1973,11,-0.93
287,1973,12,0.32
288,1974,1,1.34
289,1974,2,-0.14
290,1974,3,-0.03
291,1974,4,0.51
292,1974,5,-0.24
293,1974,6,-0.14
294,1974,7,-0.76
295,1974,8,-0.64
296,1974,9,0.82
297,1974,10,0.49
298,1974,11,-0.54
299,1974,12,1.5
300,1975,1,0.58
301,1975,2,-0.62
302,1975,3,-0.61
303,1975,4,-1.6
304,1975,5,-0.52
305,1975,6,-0.84
306,1975,7,1.55
307,1975,8,-0.26
308,1975,9,1.56
309,1975,10,-0.54
310,1975,11,0.41
311,1975,12,0.0
312,1976,1,-0.25
313,1976,2,0.93
314,1976,3,0.75
315,1976,4,0.26
316,1976,5,0.96
317,1976,6,0.8
318,1976,7,-0.32
319,1976,8,1.92
320,1976,9,-1.29
321,1976,10,-0.08
322,1976,11,0.17
323,1976,12,-1.6
324,1977,1,-1.04
325,1977,2,-0.49
326,1977,3,-0.81
327,1977,4,0.65
328,1977,5,-0.86
329,1977,6,-0.57
330,1977,7,-0.45
331,1977,8,-0.28
332,1977,9,0.37
333,1977,10,0.52
334,1977,11,-0.07
335,1977,12,-1.0
336,1978,1,0.66
337,1978,2,-2.2
338,1978,3,0.7
339,1978,4,-1.17
340,1978,5,1.08
341,1978,6,1.38
342,1978,7,-1.14
343,1978,8,0.64
344,1978,9,0.46
345,1978,10,1.93
346,1978,11,3.04
347,1978,12,-1.57
348,1979,1,-1.38
349,1979,2,-0.67
350,1979,3,0.78
351,1979,4,-1.71
352,1979,5,-1.03
353,1979,6,1.6
354,1979,7,0.83
355,1979,8,0.96
356,1979,9,1.01
357,1979,10,-0.3
358,1979,11,0.53
359,1979,12,1.0
360,1980,1,-0.75
361,1980,2,0.05
362,1980,3,-0.31
363,1980,4,1.29
364,1980,5,-1.5
365,1980,6,-0.37
366,1980,7,-0.42
367,1980,8,-2.24
368,1980,9,0.66
369,1980,10,-1.77
370,1980,11,-0.37
371,1980,12,0.78
372,1981,1,0.37
373,1981,2,0.92
374,1981,3,-1.19
375,1981,4,0.36
376,1981,5,0.2
377,1981,6,-0.45
378,1981,7,0.05
379,1981,8,0.39
380,1981,9,-1.45
381,1981,10,-1.35
382,1981,11,-0.38
383,1981,12,-0.02
384,1982,1,-0.89
385,1982,2,1.15
386,1982,3,1.15
387,1982,4,0.1
388,1982,5,-0.53
389,1982,6,-1.63
390,1982,7,1.15
391,1982,8,0.26
392,1982,9,1.76
393,1982,10,-0.74
394,1982,11,1.6
395,1982,12,1.78
396,1983,1,1.59
397,1983,2,-0.53
398,1983,3,0.95
399,1983,4,-0.85
400,1983,5,-0.07
401,1983,6,0.99
402,1983,7,1.19
403,1983,8,1.61
404,1983,9,-1.12
